essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
G234227,Non-Essential,Major facilitator superfamily proteins (MFS),?,Sensitivity to aminoacid analogs and other drugs,4,False,False,True,True,True,True,False,False,True,False,False,False,True,plasma membrane,5,5,0,0,0.20773422360000002
G238891,Essential,?,?,Cell morphology and organelle mutants,16,False,False,True,False,True,False,False,False,True,False,False,False,False,ER,0,0,0,0,None
G235785,Essential,?,Replication complexes,Conditional phenotypes,14,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.532955317
G235019,?,Transcription factors,?,?,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.795952223
G234202,Non-Essential,Protein Kinases,?,Nucleic acid metabolism defects,4,False,True,False,True,True,False,False,False,False,False,False,False,False,nucleus,2,1,1,0,0.0613135945
G238387,Non-Essential,?,?,?,14,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G235725,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,13,False,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G238564,Non-Essential,?,?,Nucleic acid metabolism defects,4,True,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.470727638
G234862,?,Transcription factors,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",14,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.522501665
G239316,Non-Essential,?,?,Cell morphology and organelle mutants,15,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.222061914
G239037,Non-Essential,?,?,?,15,False,False,False,False,False,True,False,False,False,False,False,False,False,mitochondria,0,0,0,0,None
G234935,Non-Essential,Protein Kinases,Casein kinase,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,8,0,6,2,0.35605660137500006
G235640,Non-Essential,?,delta3-cis-delta2-trans-enoyl-CoA isomerase,?,12,False,False,False,False,True,False,True,False,True,False,False,False,False,peroxisome,0,0,0,0,None
G235711,Non-Essential,?,RNA processing complexes,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.02250644
G239488,Non-Essential,?,?,?,10,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,2,0,0,0.875823488
G235616,Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,12,False,False,False,False,True,True,False,False,False,False,False,False,False,ER,1,0,0,1,0.732346536
G235207,Non-Essential,?,Nuclear pore complex (NPC),Mating and sporulation defects,4,True,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,3,3,0,0,0.6612547000000001
G239804,Essential,?,?,Conditional phenotypes,7,False,False,True,False,True,True,False,False,False,True,False,False,False,nucleus,2,0,1,1,0.9186743105
G236085,Non-Essential,?,?,?,7,True,False,False,False,True,False,False,False,False,False,False,False,False,extracellular,1,0,1,0,0.229246213
G234830,Essential,GTPase activating proteins (GAPs),?,Cell morphology and organelle mutants,13,False,False,False,False,True,False,False,False,False,False,False,True,False,cytoplasm,3,3,0,0,0.16157391333333335
G235372,Non-Essential,?,?,"Auxotrophies carbon and",7,False,True,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.864190393
G234715,Essential,Polymerases,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",12,True,False,False,False,True,False,True,False,True,False,False,True,False,nucleus,2,1,1,0,0.4614446845
G235439,Non-Essential,?,Transcription complexes/Transcriptosome,Sensitivity to aminoacid analogs and other drugs,7,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,16,5,10,1,0.418571815875
G234702,Non-Essential,Major facilitator superfamily proteins (MFS),?,?,12,False,True,False,False,False,False,False,False,False,False,False,False,True,integral membrane,1,0,1,0,0.646192903
G234960,Non-Essential,GTP-binding proteins,?,?,15,False,False,False,False,True,True,False,False,False,False,False,True,False,cytoplasm,0,0,0,0,None
G234915,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",15,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.111404792
G235309,Ambiguous-Essential,?,Exocyst complex,"Auxotrophies carbon and",5,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,3,3,0,0,0.37514143166666664
G234572,Essential,ATPases,Chaperonine containing T-complex TRiC (TCP RING Complex),Conditional phenotypes,10,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,4,4,0,0,0.72359278875
G235417,Essential,?,Nuclear pore complex (NPC),?,7,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,4,0,4,0,0.44024620375
G237857,Non-Essential,?,?,Cell morphology and organelle mutants,16,False,False,True,False,True,False,False,False,False,True,False,False,False,vacuole,2,0,2,0,0.2000759855
G239341,Non-Essential,?,?,?,4,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,5,1,4,0,0.2158373258
G234418,Non-Essential,Transcription factors,?,Mating and sporulation defects,7,False,False,False,False,True,False,False,True,False,False,False,True,False,nucleus,1,0,1,0,0.410653605
G234732,Essential,Tubulins,Cytoskeleton,Cell cycle defects,12,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,6,0,1,5,0.6321275426666667
G234293,Non-Essential,Major facilitator superfamily proteins (MFS),?,"Auxotrophies carbon and",4,False,False,False,False,True,True,False,False,True,False,False,False,True,plasma membrane,1,1,0,0,0.288587542
G239420,Non-Essential,?,?,?,8,False,False,False,False,True,False,False,False,False,False,True,False,False,mitochondria,1,0,1,0,0.368532626
G235145,Essential,?,Translation complexes,Cell morphology and organelle mutants,2,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G234535,Non-Essential,Protein Kinases,Casein kinase,?,9,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,1,3,0.4207838725
G235463,Non-Essential,?,Assembly complexes,Sensitivity to immunosuppressants,8,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,4,0,4,0,0.43618484975000005
G234437,?,Transcription factors,?,?,7,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234128,Non-Essential,ATPases,"H+-transporting ATPase vacuolar",Conditional phenotypes,2,False,False,False,False,True,True,False,True,False,False,False,False,True,vacuole,0,0,0,0,None
G234936,Ambiguous-Essential,Protein Kinases,Casein kinase,Cell morphology and organelle mutants,15,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,1,3,0.47967078525000006
G235158,Non-Essential,?,Cytoskeleton,Conditional phenotypes,2,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoskeleton,5,1,3,1,0.3319878342
G235426,Essential,?,Ribonucleoside-diphosphate reductase,Cell cycle defects,7,True,True,False,False,True,False,False,False,True,False,False,False,False,nucleus,3,2,1,0,0.161049556
G236607,Non-Essential,?,?,Cell morphology and organelle mutants,4,False,True,False,True,True,False,False,False,True,False,False,False,False,cytoplasm,1,1,0,0,0.892223018
G235157,Essential,?,Histone acetyltransferase complexes,?,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,9,0,9,0,0.4333214335555556
G235733,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,13,False,False,False,False,True,True,False,False,False,True,False,False,False,vacuole,2,0,2,0,0.4280151755
G239837,Non-Essential,?,?,Stress response defects,13,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.091575969
G235107,Non-Essential,?,Cytoskeleton,Conditional phenotypes,2,True,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,2,1,1,0,0.3639660345
G235821,Non-Essential,?,Mitochondrial translocase complex,?,15,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,1,1,0,0,0.779728843
G239877,Non-Essential,?,?,Mating and sporulation defects,12,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.420508782
G234415,Essential,ATPases,Proteasome,Nucleic acid metabolism defects,7,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G234700,Non-Essential,Molecular chaperones,?,?,12,False,True,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,2,0,2,0,0.7146201885
G234786,Essential,Protein Kinases,?,Cell cycle defects,13,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,1,0,1,0.5602594115
G238916,Non-Essential,?,?,?,15,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,2,0,0,0.8413375395
G234654,Essential,ATPases,Proteasome,Nucleic acid metabolism defects,11,True,True,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G239063,Non-Essential,?,?,Nucleic acid metabolism defects,12,False,False,True,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.637476722
G235312,Non-Essential,?,Cytoskeleton,Conditional phenotypes,5,True,False,True,False,True,False,False,False,False,False,False,False,False,cytoskeleton,4,3,1,0,0.31373819275000003
G240400,Non-Essential,?,?,Unknown,3,True,False,False,False,True,False,False,False,False,False,False,True,False,cytoplasm,6,0,6,0,0.6335350093333333
G235390,Non-Essential,?,Translocon,?,7,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,0,0,0,0,None
G234644,Non-Essential,Protein Kinases,?,?,11,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.333115807
G235366,Non-Essential,?,Transcription complexes/Transcriptosome,Mating and sporulation defects,7,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.955675241
G235629,Non-Essential,?,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,12,True,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G238392,Non-Essential,?,?,Cell cycle defects,13,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,2,0,1,1,0.3750516355
G238102,Non-Essential,?,?,Cell morphology and organelle mutants,2,False,False,False,False,True,False,False,True,False,True,True,False,False,mitochondria,2,2,0,0,0.8353563589999999
G238857,Non-Essential,?,?,Carbohydrate and lipid biosynthesis defects,4,False,False,False,False,True,False,False,False,True,False,False,False,False,ER,2,2,0,0,0.4688019685
G234070,Non-Essential,Motorproteins,Cytoskeleton,Mating and sporulation defects,1,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G235744,Ambiguous-Essential,?,Transcription complexes/Transcriptosome,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235302,Essential,?,Mitochondrial translocase complex,?,5,False,False,True,False,True,True,False,False,False,True,False,False,False,mitochondria,1,1,0,0,None
G235400,Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,1,2,1,0.393858765
G235288,?,?,Translation complexes,?,4,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.943100379
G235336,Essential,?,Translation complexes,?,5,False,False,False,False,True,False,False,False,False,False,True,True,False,cytoplasm,10,1,7,2,0.3928556002
G235273,Non-Essential,?,RNA processing complexes,Conditional phenotypes,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.748156142
G234073,Non-Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,1,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,9,5,4,0,0.566403428
G239048,Non-Essential,?,?,Mating and sporulation defects,8,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.387020285
G235248,Essential,?,Intracellular transport complexes,Carbohydrate and lipid biosynthesis defects,4,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,2,1,1,0,0.6572331149999999
G235706,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,13,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.495625085
G239294,Non-Essential,?,?,?,4,False,False,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,4,0,4,0,None
G234722,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,12,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,0,0,0,0,None
G235278,Non-Essential,?,Histone acetyltransferase complexes,Mating and sporulation defects,4,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,12,2,10,0,0.4691615555000001
G235815,Essential,?,RNA processing complexes,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,2,1,0.6830967069999999
G235892,Non-Essential,?,Cytoskeleton,Cell cycle defects,16,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,3,1,2,0,0.5976731253333334
G235833,Essential,?,Transcription complexes/Transcriptosome,?,15,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.286358614
G235301,Non-Essential,?,Gim complexes,Conditional phenotypes,5,False,False,True,False,True,False,False,False,False,True,False,False,False,cytoplasm,6,2,3,1,0.6431569580000001
G235334,Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,5,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.619463643
G239770,?,?,?,?,3,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,1,0,0,0.855567377
G235528,Non-Essential,?,Translation complexes,?,10,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G236399,Non-Essential,?,?,Cell morphology and organelle mutants,14,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,1,1,0,0,0.859871727
G238069,Non-Essential,?,?,Cell morphology and organelle mutants,12,False,False,True,False,True,True,False,False,False,False,False,False,False,mitochondria,0,0,0,0,None
G235574,Non-Essential,?,Replication complexes,Cell cycle defects,11,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,1,0,1,0.6895804065
G235912,Essential,?,Exocyst complex,?,16,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,3,3,0,0,0.32971980533333334
G235266,Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,4,False,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.582758041
G239188,Ambiguous-Essential,?,?,Cell morphology and organelle mutants,3,True,False,True,False,False,False,False,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G235482,Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,9,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,3,2,1,0,0.49884436500000007
G237160,Essential,?,?,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.878663821
G234804,Non-Essential,ATPases,"Proteases mitochondrial","Auxotrophies carbon and",13,False,False,False,False,True,False,True,False,False,True,False,False,False,mitochondria,1,1,0,0,0.677026981
G235205,Non-Essential,?,Translocon,Conditional phenotypes,4,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,0,0,0,0,None
G235245,Non-Essential,?,2-oxoglutarate dehydrogenase,?,4,False,False,False,False,True,False,True,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G234932,Non-Essential,Protein phosphatases,?,Cell cycle defects,15,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.60127309
G235735,Essential,?,Histone acetyltransferase complexes,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,10,0,10,0,0.47726789
G238677,Non-Essential,?,?,Nucleic acid metabolism defects,4,True,True,False,False,True,False,False,False,False,True,False,True,False,nucleus,2,1,1,0,0.779596692
G234754,Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,12,True,False,False,True,True,False,False,True,True,False,False,False,False,plasma membrane,8,0,8,0,0.56095624875
G234392,Essential,GTP-binding proteins,Cytoskeleton,Mating and sporulation defects,6,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,6,4,1,1,0.5960496591666666
G235034,Essential,Protein Kinases,?,Cell cycle defects,16,True,False,False,False,False,False,False,False,False,False,False,False,False,cytoskeleton,2,2,0,0,0.22872521099999998
G234468,Non-Essential,Ubiquitin-system proteins,?,?,7,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,1,0,1,0,0.225232063
G235865,Non-Essential,?,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.37975409833333335
G234562,Essential,Polymerases,Replication complexes,Unknown,9,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,2,0,0,0.1954493585
G235375,Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,0,1,0.533112364
G235846,Essential,?,Transcription complexes/Transcriptosome,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,5,3,2,0,0.4746667296
G238786,Non-Essential,?,?,Sensitivity to antibiotics,10,True,False,True,False,True,False,False,False,True,True,False,False,False,golgi,2,1,1,0,0.3135911125
G234300,Essential,Polymerases,Transcription complexes/Transcriptosome,?,4,False,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G240099,Non-Essential,?,?,?,3,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,1,0,0,0.11229754
G235515,Essential,?,Prenyltransferases,?,10,False,False,False,False,True,False,False,False,True,True,False,False,False,cytoplasm,0,0,0,0,None
G234823,Non-Essential,ATPases,?,?,13,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,2,2,0,0,0.7895861145
G235496,Essential,?,Proteasome,Stress response defects,9,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,1,1,0,0,0.384796196
G235143,Essential,?,"Alpha alpha-trehalose-phosphate synthase",Mating and sporulation defects,2,False,True,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,4,1,3,0,0.62271051125
G235688,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,13,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.595014436
G234764,Non-Essential,ATPases,"H+-transporting ATPase vacuolar",Cell morphology and organelle mutants,12,False,False,False,False,True,True,False,True,False,True,False,False,True,vacuole,1,0,1,0,0.382436419
G235866,Essential,?,Translation complexes,Mating and sporulation defects,15,True,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,7,0,7,0,0.8024453992857142
G235350,Essential,?,RSC complex (Remodel the structure of chromatin),?,6,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.32588010075000007
G235715,Essential,?,Translation complexes,Conditional phenotypes,13,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.9532611965
G235729,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,13,True,True,True,False,True,False,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.136687999
G236456,Non-Essential,?,?,"Auxotrophies carbon and",5,False,False,False,False,True,False,True,False,False,True,False,False,False,mitochondria,1,0,1,0,None
G236730,Non-Essential,?,?,Nucleic acid metabolism defects,3,True,True,False,False,True,False,False,False,False,True,False,False,False,nucleus,2,1,1,0,0.40824468
G235626,Essential,?,Exocyst complex,?,12,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,8,7,0,1,0.5638985559999999
G234549,Essential,ATPases,RSC complex (Remodel the structure of chromatin),Conditional phenotypes,9,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,2,2,0,0.5294134527500001
G234564,Non-Essential,Transcription factors,?,?,9,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.410653605
G235159,Essential,?,Replication complexes,Nucleic acid metabolism defects,2,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,5,0,2,3,0.45367676460000006
G235627,Non-Essential,?,Intracellular transport complexes,?,12,False,False,False,False,True,True,False,False,False,True,False,False,False,transport vesicles,0,0,0,0,None
G234692,Non-Essential,Transcription factors,?,?,11,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.832358145
G234610,Essential,Molecular chaperones,Mitochondrial translocase complex,Stress response defects,10,False,True,False,False,True,False,False,False,False,True,False,True,False,mitochondria,1,0,1,0,0.729869279
G235769,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,14,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoskeleton,2,1,1,0,0.23913568149999997
G234102,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,2,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.111404792
G235649,Essential,?,RSC complex (Remodel the structure of chromatin),Cell cycle defects,12,True,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.44039899375
G236546,Essential,?,?,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235404,Essential,?,RNA processing complexes,?,7,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,3,0,3,0,0.6475015863333332
G235188,Non-Essential,?,Proteasome,?,4,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,3,3,0,0,0.48801746199999996
G235080,Essential,GTP-binding proteins,?,Conditional phenotypes,16,True,False,False,True,True,False,False,False,True,False,False,False,False,golgi,4,0,4,0,0.5291824537500001
G239653,Non-Essential,?,?,Stress response defects,2,False,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,1,2,0,0.524781211
G235077,Non-Essential,Motorproteins,?,Cell morphology and organelle mutants,16,True,True,True,False,True,True,False,False,False,True,False,False,False,cytoskeleton,4,3,1,0,0.4817718565
G235802,Non-Essential,?,Histone deacetylase complexes,Cell cycle defects,15,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,4,1,3,0,0.32619804825
